hand_class_lemmatization,hand_class_replacements
colour,color
colors,color
\.,
",",
other\s,
furs,fur
forrest,forest
apartmet,apartment
aquariums,aquarium
athelete,athlete
banks,bank
bird's,birds
bodys,bodies
bouqet,bouquet
bouquets,bouquet
boxes,box
boxs,box
butchershop,butcher shop
building\b,buildings
car's,cars
car\b,cars
chacolate,chocolate
childern,children
chocholate,chocolate
chocolates,chocolate
cloths,clothes
can\b,cans
coffe,coffee
crying,cries
day's,days
day\b,days
decor\b,decoration
decors,decoration
den's,dens
deserts,desserts
desswerts,desserts
dinners,dinner
distances,distance
dog's,dog
environments,environment
envrionments,environment
fabrics,fabric
foods,food
forests,forest
friends,friend
fruits,fruit
furnitures,furniture
gates,gate
map\b,maps
highways,highway
houses,house
human beings,humans
illunation,illumination
inatruments,instruments
\binks,ink
terrariums,terrarium
instruents,instruments
instuments,instruments
store,shop
jewelery,jewelry
jewlery,jewelry
kitchens,kitchen
lakes,lake
mall's,mall
malls,mall
mattresses,mattress
menus,menu
metals,metal
movies,movie
music instrument,musical instrument
instrument,instruments
nights,night
noises,noise
papers,paper
parks,park
furnature,furniture
place\b,places
prices,price
products,product
restaraunts,restaurants
roads,road
rooms,room
runnres,runners
saturday's,saturday
saturdays,saturday
scipts,scripts
script\b,scripts
script's,scripts
scripts',scripts
sound\b,sounds
street\b,streets
stringed,string
\bthe\s,
temperatures,temperature
terrarium's,terrarium
weght,weight
of the day,of day
tkime,time
truck\b,trucks
weights,weight
